order_date,product_name,category,item_price,units_sold,revenue,units_returned,refund_amount,cogs,repeat_order_pct
2025-04-01,Classic Essential Tee,Tops,40.66,4,162.65,0,0.0,63.92,0.2694
2025-04-01,Organic V-Neck,Tops,43.85,4,175.41,0,0.0,66.04,0.3146
2025-04-01,Linen Relaxed Shirt,Tops,61.05,2,122.09,0,0.0,47.84,0.341
2025-04-01,Oversized Crop Top,Tops,34.69,1,34.69,0,0.0,12.62,0.2791
2025-04-01,Merino Wool Polo,Tops,65.95,1,65.95,0,0.0,24.33,0.2746
2025-04-01,Organic Joggers,Bottoms,60.59,3,181.78,0,0.0,64.77,0.3305
2025-04-01,High-Rise Wide Leg,Bottoms,77.57,2,155.13,0,0.0,54.82,0.3089
2025-04-01,Relaxed Chinos,Bottoms,68.5,2,137.0,0,0.0,48.38,0.2833
2025-04-01,Linen Shorts,Bottoms,50.8,1,50.8,0,0.0,17.95,0.2737
2025-04-01,Denim Straight Leg,Bottoms,91.45,1,91.45,0,0.0,31.8,0.2669
2025-04-01,Premium Hoodie,Outerwear,111.0,1,111.0,0,0.0,46.14,0.2641
2025-04-01,Wool Blend Coat,Outerwear,190.62,1,190.62,0,0.0,79.56,0.3136
2025-04-01,Puffer Jacket Recycled,Outerwear,150.95,1,150.95,0,0.0,59.35,0.339
2025-04-01,Wrap Midi Dress,Dresses,80.58,1,80.58,0,0.0,28.09,0.3217
2025-04-01,Linen Maxi Dress,Dresses,98.57,2,197.14,0,0.0,68.4,0.3082
2025-04-01,Organic Shirt Dress,Dresses,88.53,1,88.53,0,0.0,33.27,0.3294
2025-04-01,Knit Sweater Dress,Dresses,95.65,1,95.65,0,0.0,34.08,0.3004
2025-04-01,Recycled Sneakers,Footwear,92.09,1,92.09,0,0.0,39.74,0.3368
2025-04-01,Leather Ankle Boots,Footwear,138.31,1,138.31,0,0.0,58.92,0.2602
2025-04-01,Canvas Slip-Ons,Footwear,61.79,1,61.79,0,0.0,25.41,0.2595
2025-04-01,Weekend Travel Bag,Bags,93.34,1,93.34,0,0.0,29.88,0.3068
2025-04-01,Canvas Tote,Bags,44.13,1,44.13,0,0.0,14.92,0.3033
2025-04-01,Crossbody Bag,Bags,63.51,1,63.51,0,0.0,19.96,0.3014
2025-04-01,Bamboo Sunglasses,Accessories,35.43,2,70.86,0,0.0,21.4,0.2724
2025-04-01,Recycled Beanie,Accessories,21.43,2,42.86,0,0.0,12.22,0.3376
2025-04-01,Cork Wallet,Accessories,28.7,1,28.7,0,0.0,8.28,0.2603
2025-04-01,Organic Socks 3-Pack,Accessories,17.85,1,17.85,0,0.0,5.29,0.2639
2025-04-01,Hemp Belt,Accessories,26.0,1,26.0,0,0.0,7.98,0.2916
2025-04-01,Performance Leggings,Activewear,67.77,1,67.77,0,0.0,26.2,0.3226
2025-04-02,Classic Essential Tee,Tops,40.82,3,122.45,0,0.0,45.39,0.2555
2025-04-02,Organic V-Neck,Tops,45.11,2,90.21,0,0.0,33.72,0.2923
2025-04-02,Linen Relaxed Shirt,Tops,56.83,3,170.5,0,0.0,65.97,0.2923
2025-04-02,Oversized Crop Top,Tops,34.39,2,68.78,0,0.0,25.24,0.3325
2025-04-02,Merino Wool Polo,Tops,66.75,1,66.75,0,0.0,25.59,0.2816
2025-04-02,Organic Joggers,Bottoms,61.05,2,122.11,0,0.0,41.46,0.3371
2025-04-02,High-Rise Wide Leg,Bottoms,71.38,3,214.13,0,0.0,77.01,0.3289
2025-04-02,Relaxed Chinos,Bottoms,70.59,2,141.18,0,0.0,49.18,0.2917
2025-04-02,Linen Shorts,Bottoms,49.6,1,49.6,0,0.0,17.9,0.3375
2025-04-02,Denim Straight Leg,Bottoms,88.21,1,88.21,0,0.0,29.86,0.285
2025-04-02,Premium Hoodie,Outerwear,111.23,1,111.23,0,0.0,44.64,0.3098
2025-04-02,Wool Blend Coat,Outerwear,193.66,1,193.66,0,0.0,75.24,0.2561
2025-04-02,Puffer Jacket Recycled,Outerwear,147.0,1,147.0,0,0.0,60.7,0.2986
2025-04-02,Rain Jacket,Outerwear,98.05,1,98.05,0,0.0,39.52,0.3307
2025-04-02,Wrap Midi Dress,Dresses,76.26,1,76.26,0,0.0,26.82,0.29
2025-04-02,Linen Maxi Dress,Dresses,90.38,1,90.38,0,0.0,31.94,0.2734
2025-04-02,Organic Shirt Dress,Dresses,83.96,2,167.92,0,0.0,61.6,0.3008
2025-04-02,Knit Sweater Dress,Dresses,99.72,1,99.72,0,0.0,35.89,0.275
2025-04-02,Recycled Sneakers,Footwear,84.72,1,84.72,0,0.0,35.0,0.3235
2025-04-02,Leather Ankle Boots,Footwear,141.19,1,141.19,0,0.0,58.9,0.3105
2025-04-02,Canvas Slip-Ons,Footwear,59.89,1,59.89,0,0.0,25.93,0.276
2025-04-02,Weekend Travel Bag,Bags,92.66,1,92.66,0,0.0,30.89,0.2849
2025-04-02,Canvas Tote,Bags,46.54,1,46.54,0,0.0,14.62,0.2831
2025-04-02,Bamboo Sunglasses,Accessories,35.85,1,35.85,0,0.0,10.93,0.3029
2025-04-02,Recycled Beanie,Accessories,22.24,2,44.48,0,0.0,13.96,0.2828
2025-04-02,Cork Wallet,Accessories,28.78,1,28.78,0,0.0,8.43,0.302
2025-04-02,Organic Socks 3-Pack,Accessories,17.11,1,17.11,0,0.0,5.14,0.3305
2025-04-02,Hemp Belt,Accessories,25.35,1,25.35,0,0.0,7.89,0.3275
2025-04-02,Performance Leggings,Activewear,62.78,1,62.78,0,0.0,23.57,0.3424
2025-04-03,Classic Essential Tee,Tops,39.19,4,156.76,0,0.0,60.84,0.2699
2025-04-03,Organic V-Neck,Tops,44.91,3,134.74,0,0.0,53.4,0.3314
2025-04-03,Linen Relaxed Shirt,Tops,60.18,2,120.36,0,0.0,45.2,0.3081
2025-04-03,Oversized Crop Top,Tops,35.5,2,71.0,0,0.0,27.46,0.3434
2025-04-03,Merino Wool Polo,Tops,67.56,1,67.56,0,0.0,26.35,0.3001
2025-04-03,Organic Joggers,Bottoms,56.92,2,113.83,0,0.0,39.36,0.2856
2025-04-03,High-Rise Wide Leg,Bottoms,75.92,2,151.84,0,0.0,53.64,0.2928
2025-04-03,Relaxed Chinos,Bottoms,66.47,1,66.47,0,0.0,23.79,0.2976
2025-04-03,Linen Shorts,Bottoms,49.01,1,49.01,0,0.0,17.29,0.3346
2025-04-03,Premium Hoodie,Outerwear,110.81,2,221.61,0,0.0,84.54,0.3237
2025-04-03,Wool Blend Coat,Outerwear,195.12,1,195.12,0,0.0,80.96,0.3115
2025-04-03,Puffer Jacket Recycled,Outerwear,147.48,1,147.48,0,0.0,59.3,0.3436
2025-04-03,Wrap Midi Dress,Dresses,75.61,2,151.22,0,0.0,56.02,0.2833
